longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-2.66698,42.54988,1,4.8,40.0,1,2200.0,12,-1.10306008473452,0.431447360725273,-0.359987778253449
-2.61723872,42.5142073,1,4.9,48.0,0,3000.0,12,0.828393681003203,2.07980517257692,-0.0584861661167179
-2.6648918,42.5480842,0,,,0,1500.0,11,-0.228262595946043,2.72532695391463,-0.0389219123758645
-2.67599,42.53071,1,4.8,33.0,0,4500.0,11,-0.593841364672782,0.814426433007406,-0.279734103085508
-2.51212,42.55991,0,,,0,561.0,10,-1.70420918656459,-0.688129797642883,0.644103770729065
-2.6158988,42.5142511,0,,,0,8000.0,10,-0.74079136269175,-0.626457991044579,-0.8907332654004
-2.58622,42.55914,1,4.9,232.0,1,7400.0,10,0.377714492403171,0.314162582848166,-0.283506095335013
-2.79319,42.58816,1,,,0,447.0,7,-1.93575166652569,-1.03062399232375,0.0099320469295136
-2.43404,42.49873,1,4.7,40.0,0,3000.0,7,1.04492397577527,0.210200463868456,0.448596892386606
-2.43363,42.49939,1,,,0,3000.0,7,-0.0738420019519821,2.50338149084193,-0.875026717159644
-2.40841718,42.5247916,1,4.8,12.0,0,1400.0,6,-2.49661177391301,-3.25252955159308,-0.411750244494074
-2.59319,42.55203,0,,,0,10500.0,5,0.517286179815078,3.76145404429762,-0.547247561024688
-1.32533,38.47519,0,,,0,28300.0,42,5.27535195759574,4.17986924248353,0.0959156008705318
-1.79907,39.24113,0,4.4,29.0,0,575.0,33,4.30136539491818,3.25245641817296,-0.758392969014715
-1.4328,38.6922,1,4.4,375.0,1,2700.0,30,-1.38194459797677,0.225852504809544,0.351805164431013
-1.1112451,38.84384835,1,4.9,11.0,0,2300.0,28,0.154766014453113,-1.56322762402708,0.24498786845988
-1.11462,38.87564,0,,,0,,24,-1.05349636371459,-0.692654086685578,0.264414155702559
-0.98637,38.70656,0,,,0,1500.0,23,-1.06105222256583,0.561709293734638,-0.212294786812553
-1.47087,39.28198,1,,,0,,23,1.22770677481704,-0.174391194906011,-0.152628998410674
-1.52032,38.57188,0,,,0,,22,-1.72668128357807,-0.445339017785877,0.283095118876127
-1.85695,38.99485,0,4.5,13.0,0,,21,-0.860698538848323,-0.499790417975123,0.228087437238971
-1.44216,38.96294,1,4.8,63.0,0,3400.0,21,-0.597876439666912,0.859793087196383,0.122327251579264
-1.39454,39.28038,0,4.7,14.0,0,2000.0,17,-1.70761577007403,-1.08875367973861,0.344225261161629
-1.3283,38.79041,1,4.8,11.0,0,4100.0,17,-1.30210770398983,-0.0875073110685409,0.0708106432394668
-1.72632,39.21171,0,,,0,7200.0,13,-1.20499744543666,0.895844177940339,0.508166501627878
-1.85722,38.98952,1,4.9,36.0,0,3800.0,12,-1.02421452729798,0.41144075230886,0.362964983514484
-2.6028,39.27233,0,5.0,1.0,0,,10,-0.821013789033601,-1.70620817181081,0.882485409833759
-1.70142,38.51008,0,5.0,1.0,0,367.0,9,-1.9623595667065,-1.24352938069666,-0.113414759482644
-2.60373,39.26112,0,4.9,46.0,0,3900.0,8,-1.74412812267675,-0.440665637581859,0.274512871104231
-1.99784496,39.1138791,0,,,0,3000.0,7,-1.25039571348538,0.33836575415934,-0.127491133741441
-2.60284,39.27528,0,4.9,29.0,0,6000.0,6,-1.16435801877483,1.00329431592031,0.807779877244302
-0.10121,38.5789,1,4.6,587.0,1,16400.0,37,4.03803164013449,1.38122610682331,1.09993673474461
-2.8898117,36.9939431,1,3.9,55.0,1,,21,-1.12755376262941,1.44337209720998,2.3874053461473
-2.50991257,37.3429529,0,,,0,528.0,17,-1.83357690982428,-0.593576602720629,1.20874974745666
-3.02098,36.75134,1,,,0,447.0,10,-1.54938548425891,0.431624744600064,1.09400462058776
-4.90917,41.08426,1,,,0,813.0,17,-1.85475550907774,-0.627498174610776,0.315537002363884
-1.12739895,37.87126182,0,,,0,,6,-1.56895395278092,0.0521522597519642,0.715366864716025
-6.3683452,38.44612238,1,3.7,6.0,0,247.0,47,1.42201338733444,0.685099808224737,-0.913254400917573
-6.41427,38.68569,0,4.7,9.0,0,,35,0.683890849902877,0.807346483911386,-1.17809914381709
-6.40939,38.68346,0,4.8,11.0,0,6700.0,28,-1.36830989992556,0.268026111257863,0.199881894066016
-6.36917,38.44752,0,4.6,36.0,0,5400.0,28,6.80119462328599,-0.0518809367476022,-0.210182790718893
-6.56514552,38.51227477,0,3.0,2.0,0,,24,-0.985798702197282,0.0595118845081898,-0.0564044239233045
-6.40491,38.69108,0,,,0,2400.0,22,0.955217324803652,1.96419154776364,-1.04254107540023
-6.30953682,38.24753848,1,,,0,,22,-1.35365688320889,-0.383285390024069,0.366288975465141
-6.457413,38.705413,0,4.6,8.0,0,,21,1.40118463769908,2.21609403509663,-1.48775673005889
-6.1243458,38.7899533,1,4.9,81.0,0,2700.0,18,-0.811993915639214,-1.25650448712429,-0.383100396076558
-6.39799,38.39593,1,4.5,75.0,1,6200.0,17,2.98189720015684,4.31088923344972,0.659033157127432
-5.54414,38.72298,0,,,0,629.0,16,-1.65078023775952,-0.363757749872554,0.218742035657219
-6.93809531,38.92171827,0,,,0,4300.0,14,-1.32346303294788,0.25523622495518,0.271442464132559
